product_name,sales,discounted_sales,profit,quantity
Razer Tiamat Over Ear 7.1 Surround Sound PC Gaming Headset,5119.744000000001,5055.7472,2155.8922000000002,26
"Chromcraft 48"" x 96"" Racetrack Double Pedestal Table",5098.176,3998.3808,-404.00640000000004,22
Hoover Shoulder Vac Commercial Portable Vacuum,5009.48,4773.3188,715.64,16
Panasonic KX-TG9471B,4978.146000000001,4727.2788,1168.1004,27
Chromcraft Rectangular Conference Tables,4952.673,3542.7015,-450.243,30
Apple iPhone 5S,4901.914000000001,3898.7316,512.991,11
O'Sullivan 2-Door Barrister Bookcase in Odessa Pine,4886.46,4440.3443,566.4674,31
Brother DCP1000 Digital 3 in 1 Multifunction Machine,4859.838,4187.8604000000005,1154.9615000000001,19
Fellowes Staxonsteel Drawer Files,4829.25,4674.714,509.9688,26
Smead Adjustable Mobile File Trolley with Lockable Top,4778.766,4577.5548,1106.6616,12
High-Back Leather Manager's Chair,4770.633,4254.5727,-197.5848,42
SAFCO Boltless Steel Shelving,4704.696,4286.5008,-470.4696,46
Global Executive Mid-Back Manager's Chair,4626.582,4163.9238000000005,750.7284000000001,18
DMI Arturo Collection Mission-style Design Wood Chair,4619.987999999999,3883.2056,486.15560000000005,37
Polycom CX600 IP Phone VoIP phone,4619.2300000000005,4307.282,896.8505000000001,17
Letter Size Cart,4600.092,4508.6616,1252.8822,33
KI Adjustable-Height Table,4552.641,3506.90925,-248.48219999999998,74
"Bevis Round Bullnose 29"" High Table Top",4544.925,3472.3226999999997,-192.18540000000002,24
Fellowes Officeware Wire Shelving,4509.466,4164.5188,-332.371,55
Samsung Galaxy Note 2,4507.902,3219.9300000000003,-128.79719999999998,14
"Fellowes Strictly Business Drawer File, Letter/Legal Size",4479.03,4343.814,388.746,33
Sanyo 2.5 Cubic Foot Mid-Size Office Refrigerators,4476.96,4253.112,956.9502,17
"Riverside Furniture Oval Coffee Table, Oval End Table, End Table with Drawer",4446.175,2802.5245,-1147.4,25
Nortel Meridian M3904 Professional Digital phone,4434.912,4040.6976000000004,936.2592,32
Global Commerce Series Low-Back Swivel/Tilt Chairs,4420.056,3186.5519999999997,41.1168,24
Sharp 1540cs Digital Laser Copier,4399.92,3607.9344,1649.97,10
Logitech G19 Programmable Gaming Keyboard,4389.246,4329.7308,729.0612,36
"Tennsco Stur-D-Stor Boltless Shelving, 5 Shelves, 24"" Deep, Sand",4384.044,4319.0952,-36.533699999999996,33
"Hon Practical Foundations 30 x 60 Training Table, Light Gray/Charcoal",4334.8275,3929.2196249999997,430.0695,22
Bevis 36 x 72 Conference Tables,4332.252,3871.639,448.164,40
GBC DocuBind TL200 Manual Binding Machine,4322.814,3738.2262,1592.4978,23
"Chromcraft Bull-Nose Wood 48"" x 96"" Rectangular Conference Tables",4297.644,3250.782,-611.5877999999999,11
Cisco 9971 IP Video Phone Charcoal,4268.0,3436.4,466.4,16
Motorola L703CM,4211.73,3587.7700000000004,467.97,32
GBC DocuBind 200 Manual Binding Machine,4209.799999999999,3115.252,1052.45,15
Hewlett Packard 310 Color Digital Copier,4199.86,3719.876,839.972,16
"SAFCO Commercial Wire Shelving, Black",4199.456,3691.1008,-635.444,35
Office Star - Mid Back Dual function Ergonomic High Back Chair with 2-Way Adjustable Arms,4185.48,3538.3404,342.88739999999996,31
Fellowes PB200 Plastic Comb Binding Machine,4181.754,3192.4122,693.5591999999999,38
Cisco SPA301,4180.532,3818.6352,904.742,30
"Global Wood Trimmed Manager's Task Chair, Khaki",4166.884,3282.5584,-503.1194,59
Canon PC-428 Personal Copier,4119.794,3495.8252,1469.9265,25
Wireless Extenders zBoost YX545 SOHO Signal Booster,4044.3860000000004,3696.6444,733.2812,24
Fellowes Super Stor/Drawer Files,4006.44,3722.112,473.3415,27
Samsung Galaxy S4 Active,3999.92,3999.92,1039.9792,8
WD My Passport Ultra 2TB Portable External Hard Drive,3998.4,3865.12,499.8,35
Canon imageCLASS MF7460 Monochrome Digital Laser Multifunction Copier,3991.98,3991.98,1995.99,2
Office Star - Contemporary Swivel Chair with Padded Adjustable Arms and Flex Back,3989.734,3565.3842,425.75960000000003,32
Polycom SoundStation2 EX Conference phone,3968.5099999999998,3320.5899999999997,518.336,12
Hon Racetrack Conference Tables,3963.901,2827.2326999999996,-598.5228,22
Canon Image Class D660 Copier,3959.9339999999997,3767.9372,1691.9718,7
"Global Airflow Leather Mesh Back Chair, Black",3955.676,3294.3836,573.7239999999999,32
Fellowes High-Stak Drawer Files,3946.656,3439.2288,419.3322,26
Luxo Professional Fluorescent Magnifier Lamp with Clamp-Mount Base,3861.056,3340.6528000000003,289.5791999999999,23
Honeywell Enviracaire Portable HEPA Air Cleaner for 16' x 20' Room,3855.1800000000003,3855.1800000000003,1503.5202,14
Polycom SoundPoint IP 450 VoIP phone,3839.62,3044.5928000000004,162.6192,22
Google Nexus 5,3815.788,3599.8,710.9605,23
Hon Non-Folding Utility Tables,3775.647,3143.1863000000003,541.654,29
Logitech VX Revolution Cordless Laser Mouse for Notebooks (Black),3743.7920000000004,3571.0016,21.598799999999997,22
"SAFCO PlanMaster Heigh-Adjustable Drafting Table Base, 43w x 30d x 30-37h, Black",3739.115,3015.7535,608.043,14
Aastra 57i VoIP phone,3684.708,3309.7728,575.3316,26
"Office Star - Contemporary Task Swivel chair with Loop Arms, Charcoal",3680.538,2995.5126,-491.175,35
Polycom VoiceStation 500 Conference phone,3657.38,3043.884,339.1925,15
"Situations Contoured Folding Chairs, 4/Set",3641.274,2973.3522000000003,234.234,64
"Bush Heritage Pine Collection 5-Shelf Bookcase, Albany Pine Finish, *Special Order",3626.0056,2819.543608,-208.6504,34
Toshiba IPT2010-SD IP Telephone,3613.74,3057.78,425.3094,31
"Bush Cubix Conference Tables, Fully Assembled",3603.288,2993.5008000000003,311.82300000000004,19
Pyle PMP37LED,3590.026,3159.9908,576.8999,43
Global Adaptabilities Conference Tables,3540.348,3270.6072,354.0348,14
"24 Capacity Maxi Data Binder Racks, Pearl",3537.24,3166.672,536.9025,19
Global Comet Stacking Armless Chair,3528.79,3002.4620000000004,514.366,14
Avanti 4.4 Cu. Ft. Refrigerator,3511.012,3279.3576000000003,383.6776,24
Hon Rectangular Conference Tables,3481.515,2919.4665,-295.815,20
"Iceberg OfficeWorks 42"" Round Tables",3457.442,2830.875,-392.54799999999994,30
"Global Adaptabilites Bookcase, Cherry/Storm Gray Finish",3447.84,3447.84,206.87040000000002,8
O'Sullivan Living Dimensions 5-Shelf Bookcases,3420.7704,2538.264672,-755.7516,21
Geemarc AmpliPOWER60,3415.04,2791.424,384.192,46
Hewlett-Packard Desktjet 6988DT Refurbished Printer,3404.5,3404.5,1668.205,5
Bush Advantage Collection Round Conference Table,3401.6000000000004,2971.085,210.47400000000002,19
Fellowes Stor/Drawer Steel Plus Storage Drawers,3397.308,3290.4264000000003,78.25259999999999,37
"Chromcraft Bull-Nose Wood Round Conference Table Top, Wood Base",3354.89,2980.1879999999996,100.211,18
"Dot Matrix Printer Tape Reel Labels, White, 5000/Box",3322.878,3149.8524,1517.9064,36
"Bush Andora Bookcase, Maple/Graphite Gray Finish",3317.7235,2781.068225,135.58870000000002,34
Tenex Antistatic Computer Chair Mats,3317.0119999999997,2756.1976,-530.038,25
Bevis 44 x 96 Conference Tables,3253.2200000000003,2796.122,-164.72000000000003,20
Ibico EB-19 Dual Function Manual Binding System,3234.913,2700.3739,1086.3772,23
GBC ProClick 150 Presentation Binding System,3222.996,2129.7052000000003,-461.33079999999995,22
Okidata C331dn Printer,3210.8,2484.88,111.68,12
Office Impressions Heavy Duty Welded Shelving & Multimedia Storage Drawers,3178.13,3044.314,-167.27,20
Jabra SPEAK 410,3158.064,2902.4112,654.1704,37
"Global Fabric Manager's Chair, Dark Gray",3150.576,2851.6752,499.851,35
Hon 2111 Invitation Series Corner Table,3140.55,2688.3108,-401.9904,18
Economy Rollaway Files,3138.8,3006.6400000000003,693.8399999999999,20
BlackBerry Q10,3099.354,2857.4532,548.0565,27
Panasonic KX-TG9541B DECT 6.0 Digital 2-Line Expandable Cordless Phone With Digital Answering System,3059.7960000000003,2627.8248000000003,1147.4235,25
Hoover WindTunnel Plus Canister Vacuum,3051.3,2876.94,697.44,9
Digium D40 VoIP phone,3044.164,2734.588,571.4257,27
Hewlett-Packard Deskjet 3050a All-in-One Color Inkjet Printer,3040.0,3040.0,1459.2,8
"Acco 7-Outlet Masterpiece Power Center, Wihtout Fax/Phone Line Protection",3039.5,2806.0663999999997,401.21400000000006,31
Space Solutions HD Industrial Steel Shelving.,3035.208,2980.0224,24.143700000000003,27
Carina Double Wide Media Storage Towers in Natural & Black,3028.652,2924.9976,-3.2392000000000003,39
Compact Automatic Electric Letter Opener,2982.75,2887.302,-57.268800000000006,26
"SAFCO PlanMaster Boards, 60w x 37-1/2d, White Melamine",2979.004,2398.4022000000004,54.71640000000002,26
O'Sullivan Living Dimensions 2-Shelf Bookcases,2970.059,2618.91455,-78.637,28
"Global Manager's Adjustable Task Chair, Storm",2959.208,2584.7776,493.7046,23
GBC DocuBind P100 Manual Binding Machine,2954.444,2313.7612,489.6410000000001,27
O'Sullivan Plantations 2-Door Library in Landvery Oak,2946.3668,1987.8529839999999,-767.7436,22
3.6 Cubic Foot Counter Height Office Refrigerator,2946.2,2333.3903999999998,-872.0751999999999,18
Aastra 6757i CT Wireless VoIP phone,2929.984,2550.8096,482.5856,16
Novimex Swivel Fabric Task Chair,2913.9139999999998,2293.3862,-445.391,25
ShoreTel ShorePhone IP 230 VoIP phone,2906.628,2392.8984,422.475,21
O'Sullivan Living Dimensions 3-Shelf Bookcases,2904.161,2574.0513499999997,-170.83299999999997,17
Kensington 7 Outlet MasterPiece Power Center,2883.276,2626.9848,229.59420000000003,21
Logitech Wireless Gaming Headset G930,2879.82,2495.844,763.1523,21
Bose SoundLink Bluetooth Speaker,2865.6,2340.2400000000002,967.14,18
"Electrix Architect's Clamp-On Swing Arm Lamp, Black",2863.8,2749.248,627.1722000000001,33
"Lesro Round Back Collection Coffee Table, End Table",2847.7799999999997,2380.452,-328.59,20
Okidata MB491 Multifunction Printer,2844.2999999999997,2050.89,-434.13,9
Premier Automatic Letter Opener,2836.366,2413.3148,-427.8586,14
Logitech Wireless Headset h800,2799.72,2479.752,719.928,32
Xerox 1915,2789.0099999999998,2671.578,1262.394,28
Electrix Halogen Magnifier Lamp,2759.06,2370.46,314.76599999999996,17
Maxell iVDR EX 500GB Cartridge,2755.4,2755.4,1184.8220000000001,10
VTech DS6151,2746.582,2424.0476,478.762,25
Nortel Meridian M5316 Digital phone,2744.87,2371.982,253.77100000000002,13
O'Sullivan 4-Shelf Bookcase in Odessa Pine,2740.197,1980.74505,-975.0988,37
"Carina Mini System Audio Rack, Model AR050B",2730.108,2605.8104000000003,-68.8076,26
"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",2706.08,2539.5519999999997,578.6848,14
Hon Mobius Operator's Chair,2705.7799999999997,2595.089,499.3394,23
"GE 48"" Fluorescent Tube, Cool White Energy Saver, 34 Watts, 30/Box",2699.056,2556.1648,1260.221,29
"Bevis Round Conference Table Top, X-Base",2671.421,2060.0421,-519.941,20
Imation Bio 8GB USB Flash Drive Imation Corp,2659.84,2659.84,398.976,16
Global Highback Leather Tilter in Burgundy,2647.809,2301.1371000000004,49.13459999999999,34
Cisco 8x8 Inc. 6753i IP Business Phone System,2645.804,2051.848,83.6938,26
Premier Electric Letter Opener,2641.6079999999997,2530.3824,-7.105427357601002e-15,24
Vtech CS6719,2630.126,2284.562,418.51640000000003,32
NETGEAR AC1750 Dual Band Gigabit Smart WiFi Router,2623.8360000000002,2419.0488,723.1548,18
Razer Kraken 7.1 Surround Sound Over Ear USB Gaming Headset,2619.738,2395.7604,995.9004,29
Fellowes Bankers Box Staxonsteel Drawer File/Stacking System,2612.196,2466.6408,153.35279999999997,43
Motorola Droid Maxx,2609.826,2249.85,341.9772,21
Hon Deluxe Fabric Upholstered Stacking Chairs,2586.1879999999996,1829.85,-48.796,15
"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",2552.54,2552.54,51.050799999999995,23
Bevis Boat-Shaped Conference Table,2542.467,1732.5471,-445.587,15
Fellowes Powershred HS-440 4-Sheet High Security Shredder,2541.8360000000002,2467.4408000000003,1092.6795,17
Xerox WorkCentre 6505DN Laser Multifunction Printer,2519.958,1511.9748,-251.9958,7
Safco Industrial Wire Shelving System,2511.0480000000002,2336.3664000000003,-218.352,30
Plantronics Calisto P620-M USB Wireless Speakerphone System,2508.672,2320.5216,505.6542,14
Easy-staple paper,2504.192,2366.2816,1096.0292,150
Kensington 7 Outlet MasterPiece HOMEOFFICE Power Control Center,2491.28,2407.3632000000002,563.816,21
Kensington 4 Outlet MasterPiece Compact Power Control Center,2488.392,2254.1904,380.5776,36
"Rush Hierlooms Collection 1"" Thick Stackable Bookcases",2487.759,2422.3591499999998,410.352,15
Sensible Storage WireTech Storage Systems,2484.2999999999997,2313.948,-78.07799999999999,38
Wi-Ex zBoost YX540 Cellular Phone Signal Booster,2481.15,2247.63,540.015,19
Enermax Acrylux Wireless Keyboard,2450.16,2099.568,630.468,29
Panasonic KX MB2061 Multifunction Printer,2396.4,1917.1200000000001,179.73,10
Global Super Steno Chair,2389.902,2016.5398,-1.7763568394002505e-15,30
Harbour Creations Steel Folding Chair,2389.125,1998.4125,336.375,34
Logitech Gaming G510s - Keyboard,2362.7219999999998,2145.1476000000002,676.5204,31
Swingline SM12-08 MicroCut Jam Free Shredder,2359.9410000000003,1347.9663,-447.9888,13
"3D Systems Cube Printer, 2nd Generation, White",2339.982,1481.9886000000001,-467.9964,3
Logitech G700s Rechargeable Gaming Mouse,2339.766,2211.7788,889.9110000000001,25
StarTech.com 10/100 VDSL2 Ethernet Extender Kit,2330.65,1385.072,-785.7620000000001,13
"Fellowes Mobile File Cart, Black",2300.66,2151.428,485.00399999999996,40
"Gould Plastics 18-Pocket Panel Bin, 34w x 5-1/4d x 20-1/2h",2299.75,2078.974,-172.9412,28
"Lesro Sheffield Collection Coffee Table, End Table, Center Table, Corner Table",2298.114,1922.7078000000001,-12.132900000000003,39
Bevis Round Conference Table Top & Single Column Base,2297.538,1950.7122000000002,100.97460000000001,19
Xiaomi Mi3,2279.96,2279.96,592.7896,4
"Tenex 46"" x 60"" Computer Anti-Static Chairmat, Rectangular Shaped",2267.972,1962.7496,148.372,25
GBC DocuBind P50 Personal Binding Machine,2264.892,1875.8936,569.422,50
Cisco IP Phone 7961G-GE VoIP phone,2252.4320000000002,1594.0288,-119.119,15
Plantronics S12 Corded Telephone Headset System,2242.032,2052.3216,754.5300000000001,23
BPI Conference Tables,2241.8675,1382.7283750000001,-795.9725,26
Plantronics HL10 Handset Lifter,2227.008,1781.6064000000001,250.5384,24
Konftel 250 Conference phone - Charcoal black,2221.596,1948.1688000000001,324.69480000000004,9
Avanti 1.7 Cu. Ft. Refrigerator,2221.56,2059.992,476.6256,24
Office Star - Ergonomic Mid Back Chair with 2-Way Adjustable Arms,2207.956,2092.1288,231.6544,13
"Global Value Steno Chair, Gray",2204.862,1899.3398,245.99699999999999,43
Office Star - Mesh Screen back chair with Vinyl seat,2200.464,1883.4924,-130.98,20
"3M Polarizing Task Lamp with Clamp Arm, Light Gray",2191.68,2191.68,569.8368,16
"Global Push Button Manager's Chair, Indigo",2185.951,1806.6063000000001,283.7474,44
Jabra Supreme Plus Driver Edition Headset,2159.82,1823.8480000000002,259.1784,22
Razer Kraken PRO Over Ear PC and Music Headset,2159.73,1967.754,479.94,30
Logitech G35 7.1-Channel Surround Sound Headset,2157.8340000000003,2116.2372,699.3462,17
Samsung Galaxy Note 3,2155.902,1698.3228,153.993,13
Sauder Inglewood Library Bookcases,2154.348,1975.6739000000002,311.1836,14
KI Conference Tables,2140.878,1541.1486,-479.2164,44
Mitel 5320 IP Phone VoIP phone,2116.688,1693.3504000000003,211.66879999999998,14
Imation Bio 2GB USB Flash Drive Imation Corp,2098.88,2098.88,881.5296,16
Laminate Occasional Tables,2096.168,1590.6216,-206.5342,18
"Rubbermaid ClusterMat Chairmats, Mat Size- 66"" x 60"", Lip 20"" x 11"" -90 Degree Angle",2064.228,1744.6055999999999,-173.12879999999998,24
Cisco SPA 502G IP Phone,2063.14,1698.492,299.875,21
"Tenex Chairmat w/ Average Lip, 45"" x 53""",2058.496,1731.5584,-529.76,19
HTC One Mini,2041.038,1758.8204,317.4948,19
Hon 2111 Invitation Series Straight Table,2040.054,1614.3036,-115.30739999999999,18
"Bevis Traditional Conference Table Top, Plinth Base",2033.496,1383.444,-456.7032,9
Global Enterprise Series Seating High-Back Swivel/Tilt Chairs,2032.35,1531.037,-460.666,10
Jawbone MINI JAMBOX Wireless Bluetooth Speaker,2027.304,1676.6352000000002,-339.7104,18
Jawbone JAMBOX Wireless Bluetooth Speaker,2022.272,1870.6016,872.1048000000001,14
Jabra SPEAK 410 Multidevice Speakerphone,2018.702,1540.8052000000002,10.299500000000009,13
Ooma Telo VoIP Home Phone System,2015.8400000000001,1814.256,314.975,18
Okidata C610n Printer,2011.9,1278.53,-292.04999999999995,5
Logitech G602 Wireless Gaming Mouse,1999.75,1743.7820000000002,515.1356000000001,29
Adtran 1202752G1,1990.6419999999998,1768.8996,312.4552,18
"Ativa D5772 2-Line 5.8GHz Digital Expandable Corded/Cordless Phone System with Answering & Caller ID/Call Waiting, Black/Silver",1979.88,1979.88,593.964,12
"Global Value Mid-Back Manager's Chair, Gray",1978.925,1676.3017,197.89249999999998,39
Space Solutions Commercial Steel Shelving,1952.43,1807.614,-74.34749999999998,33
Office Star Flex Back Scooter Chair with Aluminum Finish Frame,1947.1770000000001,1889.6697000000001,413.649,20
Harmony Air Purifier,1946.7,1710.45,374.22,13
AT&T 1080 Corded phone,1945.258,1550.7268000000001,145.2094,18
AT&T CL83451 4-Handset Telephone,1936.306,1837.4308,473.777,10
Imation Secure+ Hardware Encrypted USB 2.0 Flash Drive; 16GB,1926.9360000000001,1599.9408000000003,408.744,32
Logitech Mobile Speakerphone P710e - speaker phone,1916.716,1614.3608,241.6142,17
Plantronics Audio 995 Wireless Stereo Headset,1913.13,1860.354,587.1329999999999,18
"O'Sullivan Elevations Bookcase, Cherry Finish",1912.308,1556.0423999999998,-68.1096,18
"Sauder Camden County Collection Libraries, Planked Cherry Finish",1909.8178,1694.494754,-78.18639999999999,19
Polycom SoundPoint Pro SE-225 Corded phone,1903.8400000000001,1656.3408,276.0568,19
Bestar Classic Bookcase,1897.8102,1389.101076,-612.9386999999999,31
Novimex Fabric Task Chair,1890.3799999999999,1514.7432,-131.107,39
NETGEAR N750 Dual Band Wi-Fi Gigabit Router,1890.0,1818.0,622.8,22
Multicolor Computer Printout Paper,1887.3,1803.42,851.3820000000001,19
Nortel Networks T7316 E Nt8 B27,1876.524,1800.3752,397.7415,29
"Sauder Forest Hills Library, Woodland Oak Finish",1875.034,1676.9571,-70.49,15
